km,klass,surface,highway,tracktype,smoothness,dist_m
505.2445741991959,kruus,gravel,residential,NA,NA,0
505.4932530403002,kruus,gravel,residential,NA,NA,0
505.7236893693393,kruus (eeldus),NA,track,NA,NA,0
505.9959207619751,kruus (eeldus),NA,track,NA,NA,0
506.2701802495522,kruus (eeldus),NA,track,NA,NA,0
506.49990875007177,kruus,gravel,unclassified,NA,NA,0
506.73489449384516,kruus,gravel,unclassified,NA,NA,0
507.01976303159796,kruus,gravel,unclassified,NA,NA,0
507.26796869291445,kruus,gravel,unclassified,NA,NA,0
507.5283583199085,asfalt (eeldus),NA,unclassified,NA,NA,0
507.74575750801773,kruus,gravel,unclassified,NA,NA,0
508.01645561003534,kruus,gravel,unclassified,NA,NA,0
508.2219426931007,kruus,gravel,unclassified,NA,NA,0
508.5175017072638,kruus (eeldus),NA,track,NA,NA,0
508.7513661371561,kruus,gravel,unclassified,NA,NA,0
508.9924718725388,kruus,gravel,unclassified,NA,NA,0
509.22911164590823,kruus,gravel,unclassified,NA,NA,0
509.5111806061064,kruus,gravel,unclassified,NA,NA,0
509.7522719670787,kruus,gravel,unclassified,NA,NA,0
510.0005112877292,kruus,gravel,unclassified,NA,NA,0
510.2344696692761,kruus,gravel,unclassified,NA,NA,0
510.49005650644665,kruus,gravel,unclassified,NA,NA,0
510.7269956338546,kruus,gravel,unclassified,NA,NA,0
511.0305408962927,kruus,gravel,unclassified,NA,NA,0
511.2723519398271,kruus,gravel,unclassified,NA,NA,1
511.47492454539486,kruus,gravel,unclassified,NA,NA,0
511.7687275694344,kruus,gravel,unclassified,NA,NA,0
511.99733907726204,kruus,gravel,unclassified,NA,NA,0
512.2217347807433,asfalt,asphalt,secondary,NA,NA,0
512.5252150075994,asfalt,asphalt,secondary,NA,NA,0
512.7452687797507,asfalt,asphalt,secondary,NA,NA,0
512.9835479357847,asfalt,asphalt,secondary,NA,NA,0
513.232552733605,asfalt,asphalt,secondary,NA,NA,0
513.5261920954142,kruus,unpaved,tertiary,NA,NA,0
513.7510896016996,kruus,unpaved,tertiary,NA,NA,0
514.004417405973,kruus,unpaved,tertiary,NA,NA,0
514.2438991221031,kruus,unpaved,tertiary,NA,NA,0
514.4904009301,kruus,unpaved,tertiary,NA,NA,0
514.7635243813942,kruus,unpaved,tertiary,NA,NA,0
514.9896050172495,kruus,unpaved,tertiary,NA,NA,2
515.2664292586467,kruus,unpaved,tertiary,NA,NA,0
515.4692839325345,kruus,unpaved,tertiary,NA,NA,0
515.7592125882691,kruus,unpaved,tertiary,NA,NA,0
516.029590937327,kruus,unpaved,tertiary,NA,NA,0
516.2539817724386,kruus,unpaved,tertiary,NA,NA,0
516.4825265370685,kruus,unpaved,tertiary,NA,NA,0
516.7433446419923,kruus,unpaved,tertiary,NA,NA,0
517.0021460625729,kruus,unpaved,tertiary,NA,NA,0
517.279313691747,kruus,unpaved,tertiary,NA,NA,0
