km,detour_m,kind,name,hours,lat,lon,osm
6.26,933,fast_food,Hesburger,Mo-Su 09:00-22:00,59.4211024,24.6505424,node/5282817523
6.33,263,cafe,Boost,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4270007,24.6536691,node/9655841428
6.33,267,greengrocer,No bananas,NA,59.426987,24.6535761,node/10814394976
6.33,272,kiosk,R-kiosk,Mo-Sa 08:30-21:00; Su 09:00-19:00,59.4269706,24.6534215,node/9655841431
6.33,314,supermarket,Biomarket,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.426605,24.6531916,node/7130760352
6.34,265,cafe,Coffee In,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4270639,24.6533426,node/12749468983
6.46,235,supermarket,Prisma,Mo-Su 08:00-23:00,59.4273553,24.6532383,node/1802635733
6.46,259,restaurant,Da Vinci,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4271808,24.6526521,way/1023623993
6.46,266,butcher,Matsimoka,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4270764,24.6532513,way/1023394696
6.46,274,restaurant,REPA,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4270934,24.6522286,node/9607419318
6.46,290,restaurant,Tommi Grill,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4269473,24.6521791,way/1023624006
6.46,296,restaurant,Chopsticks,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4268477,24.6525921,way/1023623992
6.46,301,general,Flying Tiger Copenhagen,Su 10:00-19:00; Mo-Sa 10:00-21:00,59.4267695,24.6530482,way/1023394554
6.46,306,restaurant,Mack Bar-b-que,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4267999,24.6522139,way/1023623991
6.46,313,restaurant,MySushi,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4266919,24.6525395,way/1023624004
6.46,317,fast_food,My Döner,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4266971,24.6522041,way/1023623990
6.46,358,fast_food,KFC,Su 10:00-19:00; Mo-Sa 10:00-21:00,59.4262962,24.6523712,way/1023394636
6.46,360,greengrocer,No bananas,Mo-Sa 10:00-21:00; Su 10:00-19:00,59.4263275,24.6519563,node/11999391644
6.46,376,fast_food,Burger King,Su 10:00-19:00; Mo-Sa 10:00-21:00,59.4261774,24.6519396,way/1023394655
6.47,354,fast_food,Blender,Su 10:00-19:00; Mo-Sa 10:00-21:00,59.4264241,24.6516902,node/9633491350
6.47,460,supermarket,Rocca al Mare Selver,Mo-Su 08:00-23:00,59.4259122,24.6492931,way/1023394637
6.47,555,fuel,Alexela,24/7,59.4248254,24.6498481,way/26847542
6.47,695,convenience,Circle K,24/7,59.4242443,24.6466933,way/414515850
6.47,708,fuel,Circle K Haabersti,24/7,59.4241039,24.6466796,way/26866715
6.47,883,bakery,Biscuit,Tu-Fr 12:00-19:00; Sa 12:00-18:00,59.422145,24.6474081,node/11931319543
6.47,1130,convenience,Olerex,24/7,59.4199803,24.6463379,way/26866929
6.47,1139,fuel,Olerex,24/7,59.4199501,24.6460348,way/26848643
6.89,531,fast_food,Hesburger,"""During events""",59.4257543,24.6472929,node/9674008028
6.97,391,cafe,Cafe Agassi,Mo-Fr 09:00-16:00,59.4270693,24.6456405,node/4067832444
6.97,718,fast_food,Lit,Su-Th 11:00-22:00; Fr-Sa 11:00-01:00,59.4241264,24.6457794,node/9628429939
7.01,529,cafe,Veska-grill,Mo-Fr 11:00-20:00; Sa 10:00-18:00; Su 10:00-16:00,59.4258647,24.6445647,node/9628416712
7.01,667,restaurant,Chopsticks,NA,59.4246233,24.6444614,node/9628429924
7.06,620,supermarket,Rimi Hypermarket,Mo-Su 08:00-22:00,59.4250681,24.643705,node/4156508308
7.06,657,fast_food,Peetri pizza,Mo-Fr 11:00-21:30; Sa-Su 10:30-21:30,59.424727,24.6441825,node/9628429926
7.06,661,fast_food,MySushi Express,Mo-Th 11:00-21:00; Fr-Su 10:00-21:00,59.4246942,24.6440618,node/9628429927
7.06,661,bakery,Pirogoff,We-Su 12:00-21:00,59.424702,24.6436002,node/9628429928
7.06,677,greengrocer,NA,NA,59.4245526,24.6438782,node/10814394979
7.37,314,restaurant,Kolu kõrts,Mo-Su 10:00-19:00,59.4336133,24.6405281,way/26855182
7.47,22,drinking_water,NA,NA,59.4310946,24.6378622,node/10632719725
7.47,379,convenience,Lau külapood,NA,59.4344733,24.6381338,node/2314802344
7.94,991,fuel,Alexela,24/7,59.41912,24.637779,way/249459233
7.94,1014,cafe,Alexela,24/7,59.4188663,24.6375691,node/11931319544
7.94,1014,convenience,Alexela,24/7,59.4188565,24.6374869,way/620729058
8.1,159,fuel,Circle K automaat,24/7,59.4276397,24.6287556,relation/20741828
8.15,165,fast_food,Veska grill & baar,NA,59.4277739,24.6282837,node/3265945321
8.24,173,supermarket,Kakumäe Selver,Mo-Su 08:00-23:00,59.4282253,24.6269175,node/631605216
